Course Code
CEE 242
PHY 021
CEE 262 or  264
CEE 272
PHY 022
AE CEE Approved Elective2
AE CEE Approved Electives2
ESR Earth Science Requirement3
CEE 275
CEE 290
PHY 011
EES 022
"CEE 003, MECH  002, or MECH  003"
MATH 023
CHM 111
ECO 001
CHM 030
CEE 222
CHM 110
CEE 378
AE Approved Electives2
MATH 021
CEE 003
CEE 122
HSS Humanities/Social Sciences Elective
ENGR 010
PHY 012
AE Approved Elective2
CEE 059
CEE/CHE 373
CEE/CHE 375
CEE 202
CEE 375
CEE 012
CEE 117
MATH 205
CEE 370
CEE 170
CEE 123
CEE 345
CEE 142
CEE 377
CEE 011
HSS Humanities/Social Science Elective
CEE/EES 323
FE Free Elective
CEE 371
WRT 002
BSE Basic Science Elective1
CEE 159
HSS Humanities/Social Science Elective1
MATH 022
HSS Humanities/Social Sciences Elective1
CEE 274
CHE 031
CHM 031
EBR Environmental Biology Requirement4
ENGR 005
CEE 203
WRT 001
CEE 010 or  195
CEE/EES 327
